propId , label , description , aliases ,  type , count
P1686,awarded for work,qualifier of award received (P166) to specify the work that an award was given to the creator for,for their work on,null,0
P1688,AniDB identifier,ID on the site http://anidb.net,,null,0
P1689,central government debt as a percent of GDP,,,null,0
P1706,together with,qualifier to specify the person or group that this property is shared with,"shared with, award shared with",null,0
P1721,pinyin transliteration,hanyu pinyin transliteration of a pinyin text (usually to be used as a qualifier),,null,0
P1729,AllMusic album ID,ID of an album in AllMusic database,,null,0
P1730,AllMusic song ID,ID of a song in AllMusic database,,null,0
P1734,oath of office date,when person swore the oath of office,,null,0
P1775,follower of,for unknown artists who work in the manner of the named artist,,null,0
P1776,circle of,"for unknown artists who lived in the same time as the named author in a similar style, possibly a follower or someone who had contact with the named artist",,null,0
P1777,manner of,"for unknown artists who worked in a similar style as the named author, but not necessary from the same period",,null,0
P1778,forgery after,for an artwork trying to appear to be the work of the named author,,null,0
P1779,possible creator,for a creative work with consderable uncertainty about the author,,null,0
P1780,school of,"for a creative work with author with a style influenced by the known author or circle, active in the same period, but a student or follower",,null,0
P1828,IPI Code,"international unique identifier for composer, author and other relevant parties","Interested Parties Information Code, IPI",null,0
P1829,Roud Folk Song Index,"Id for a database of nearly 200,000 references to nearly 25,000 songs",,null,0
P1831,electorate,the number of registered voters for the place,,null,0
P1833,number of registered users/contributors,number of registered users on a website,,null,0
P1836,draft pick number,overall pick number with which a player is selected in a sports draft,,null,0
P368,Sandbox-CommonsMediaFile,"Sandbox property for value of type ""Commons Media File""",,null,0
P369,Sandbox-Item,"Sandbox property for value of type ""Item""",Wt. Intakes data experiment,null,0
P405,taxon author,the author(s) that (optionally) may be cited with the scientific name,"author citation, described by",null,0
P453,character role,specific role played or filled by subject (use only as qualifier of P161 or P725),role,null,0
P548,version type,type of version (qualifier for P348),,null,0
P554,website username,username on a website that the person or organization has an account on (only use as qualifier of P553),"username, handle, social media address, account name",null,0
P578,Sandbox-TimeValue,"Sandbox property for value of type ""TimeValue""","Sandbox-Time, Sandbox-Date",null,0
P654,direction relative to location,qualifier for geographical locations to express relative direction,DRTL,null,0
P659,GenLoc assembly,specify the genome assembly of the gene in UCSC Genome Informatics website,,null,0
P678,incertae sedis,qualifier for P171 (parent taxon) to mark which intermediate ranks are incertae sedis,,null,0
P697,ex taxon author,"person to whom to ascribe a taxon name, denoted by ""ex"" (via P405)",,null,0
P783,hymenium type,type of spore-bearing surface or that mushroom,,null,0
P792,chapter,title or number of the chapter where a claim is made,,null,0
P794,as,generic qualifier,has role,null,0
P820,arXiv classification,arXiv classification of pre-print articles,,null,0
P857,CNKI,identifier in the China National Knowledge Infrastructure database,,null,0
P875,UN code classification,UN code classification,,null,0
P893,Social Science Research Network ID,article/paper identifier at the SSRN,,null,0
P922,magnetic ordering,magnetic ordering of a substance,,null,0
P925,presynaptic connection,neuron connects on its presynaptic end to,,null,0
P926,postsynaptic connection,neuron connects on its postsynaptic end to,,null,0
P928,activating neurotransmitter,which neurotransmitter activates the neuron,Ligands,null,0
P929,color space,mathematical model describing the way colors can be represented as tuples of numbers,,null,0
P958,"section, verse, or paragraph","paragraph, column, or other kind of special indication to find information on a page or on a document (legal texts et al.)","title (of a section), entry, encyclopedia entry, dictionary entry",null,0
P967,guest of honor,"guest(s) of honor invited to an event, e.g. a convention",,null,0
P980,code for weekend and holiday homes (Sweden),a type of Statistics Sweden-code,,null,0
P999,ARICNS,ARICNS code,,null,0
P1081,Human Development Index,HDI value of a country,HDI,quantity,23
P1082,population,number of people inhabiting the place,,quantity,270331
P1083,seating capacity,"seating capacity of the venue, vehicle",number of seats,quantity,11455
P1086,atomic number,number of protons found in the nucleus of the atom,proton number,quantity,4651
P1087,ELO rating,"quantitative measure of one's game-playing ability, particularly in chess",,quantity,4
P1088,Mohs' hardness,,,quantity,48
P1090,redshift,the redshift measure of an astronomical object,,quantity,123
P1092,total produced,quantity of item produced,"Number produced, qty produced, qty built, qty made, number built, number made, total built, total made",quantity,2483
P1093,gross tonnage,unitless index related to a ship's overall internal volume,"ship gross tonnage, GT",quantity,14
P1096,orbital eccentricity,amount of the deviation of an orbit from a perfect circle,eccentricity,quantity,40
P1098,number of speakers,number of people who speak a language,,quantity,841
P1099,number of masts,number of masts a ship has,number of masts,quantity,12
P1100,number of cylinders,number of cylinders in a piston engine or compressor,,quantity,64
P1101,floors above ground,above ground floor count of a building (ground floor included),"number of floors, storeys, stories",quantity,185
P1102,flattening,measure of the compression of an ellipsoid of revolution,"ellipticity, oblateness",quantity,5
P1103,number of platforms,number of tracks serving a platform in a railway station,"platforms, railway station platforms, metro platforms",quantity,2388
P1104,number of pages,number of pages in an edition of a written work,"page count, pages",quantity,287
P1108,electronegativity,,,quantity,16
P1109,refractive index,refractive index of a substance with wavelength and temperature as qualifiers,,quantity,12
P1110,attendance,"number of people (spectators, ticket holders) at an event or exhibition",spectators,quantity,165
P1112,Pokédex number,a Pokémon identification number,Pokedex number,quantity,2642
P1113,series length,the number of items in a series,"episode count, number of episodes",quantity,335
P1114,quantity,number of instances of this subject,"qty, total number, number of instances, number",quantity,600
P1117,pKa,acid dissociation constant,,quantity,4
P1118,tennis singles ranking,ranking of player (use qualifiers P580 & P582 for timespan),singles ranking,quantity,244
P1119,tennis doubles ranking,ranking of player in doubles (use qualifiers P580 & P582 for timespan),,quantity,242
P1120,number of deaths,number of people who died as a result of an event or cause,"deaths, fatalities, qty deaths, qty fatalities, death toll, death count",quantity,376
P1121,oxidation state,,,quantity,157
P1122,spin quantum number,,,quantity,31
P1123,parity,property of elementary particle,,quantity,4
P1124,teu,"capacity measured in ""twenty-foot equivalent unit""",TEU,quantity,2
P1125,Gini coefficient,measure of statistical dispersion intended to represent the income distribution of a nation's residents,,quantity,16
P1128,employees,total number of employees of a company at a given point in time,number of employees,quantity,331
P1129,national team caps,,national team appearances,quantity,3
P1130,doubles titles,number of tournament victories in tennis doubles,,quantity,1
P1131,singles titles,number of tournament victories in tennis singles,,quantity,1
P1132,number of participants,"number of participants of an event, e.g. people or groups of people that take part in the event","participant count, participants, qty participants",quantity,213
P1139,floors below ground,the total number of below ground floors of the building,"underground floors, basement floors",quantity,23
P1141,number of processor cores,the number of independent actual processing units,,quantity,4
P1148,neutron number,number of neutrons of an isotope,,quantity,4505
P1164,cardinality of the group,number of elements in a finite group,"Group order, Group size",quantity,5
P1174,visitors per year ,number of people visiting a location each year,,quantity,1052
P1181,numeric value,numerical value of a number (e.g. 1) or a constant (e.g. pi),value,quantity,10120
P1193,prevalence,portion of a population with a given disease,,quantity,1
P1198,unemployment rate,portion of a workforce population that is not employed,,quantity,30
P1215,apparent magnitude,apparent magnitude of an astronomic object,,quantity,165
P1247,compression ratio,compression ratio of an engine,,quantity,7
P1279,inflation rate,percent change in CPI in one year,,quantity,2
P1295,emissivity ,ability of a substance to radiate thermal energy from its surface,,quantity,1
P1301,number of elevators,number of elevators in a building,"elevators, lifts",quantity,15
P1314,number of spans,number of spans a bridge has,,quantity,6
P1339,number of injured,number of people with non-fatal injuries in an event,"non-fatal injuries, injured, wounded, injury toll, injuries, number injured",quantity,71
P1342,number of seats,number of seats/members in an assembly (legislative house or similar),"number of members, seats",quantity,150
P1345,number of victims,number of victims of a serial killer,,quantity,2
P1350,number of matches played,matches or games a player officially appeared in,"matches played, caps, appearances, games played, games pitched, gp",quantity,5
P1351,number of points/goals scored,goals / points scored in a match used as qualifier to the participant. Use P1358 for league points.,"Goals for, GF, goals scored, points scored",quantity,4
P1352,ranking,person's ranking in a sport,,quantity,993
P1373,daily ridership,"number of people riding a transportation line or network, or using a station in a given day",,quantity,3
P1410,number of seats in legislature,number of seats a political party has in a given legislature,,quantity,4
P1418,orbits completed,number of orbits a spacecraft has done around a body,,quantity,1
P1436,collection or exhibition size,number of items in a collection or exhibition,,quantity,20
P1446,number of missing,"number of people missing after an event - qualify with ""point in time (P585)""","people missing, number of missing people, number missing, missing",quantity,5
P1457,absolute magnitude,absolute magnitude of an astronomic object,,quantity,4
P1458,color index,color index of an astronomical object,,quantity,2
P1470,maximum glide ratio ,maximum glide ratio of an aircraft,"best lift/drag ratio, best L/D-ratio",quantity,8
P1538,number of households,,,quantity,1
P1539,female population,,,quantity,41
P1540,male population,,,quantity,41
P1548,maximum Strahler number,"highest Strahler number of a stream, creek, or river",,quantity,61
P1561,number of survivors,number of people surviving an event,survivors,quantity,20
P1569,number of edges,number of edges of a shape,"edge, edges",quantity,12
P1570,number of vertices,number of vertices of a shape,,quantity,9
P1590,number of casualties,number of people dead or injured because of this event.  Used when precise data on number of deaths and number of injured is unavailable.,"number of deaths and injuries, casualities",quantity,5
P1603,number of cases,"the cumulative number of confirmed, probable and suspected occurrences",,quantity,6
P1641,port,default communication endpoint in TCP or UDP protocol,,quantity,74
P1658,number of faces,number of faces of a mathematical solid,,quantity,3
P1697,total valid votes,vote count for the elections (excluding invalid votes),,quantity,13
P1725,beats per minute,tempo of a musical work,,quantity,83
P1752,scale,"Proportional ratio of a linear dimension of a model, map, etc,  to the same feature of the original - 1:n. Use 1 for lifesize, positive numbers for smaller than lifesize, negative numbers for larger",scale ratio,quantity,2
P1003,NLR (Romania) identifier,authority control identifier used at the National Library of Romania,,string,83
P1004,MusicBrainz place ID,place identifier in the MusicBrainz open music encyclopedia,"MBID, place MBID, MB place id, place ID",string,2468
P1005,PTBNP identifier,identifier for the Portuguese National Library,,string,4664
P1006,NTA identifier (Netherlands),National Thesaurus for Author names (Dutch author-name thesaurus),"Nationale Thesaurus voor Auteurs, NTA",string,129367
P1007,Lattes Platform number,number for the Lattes Platform entry on the person or group. Relationship between entry and subject must be supported by a source,,string,7
P1010,Iran statistics ID,ID given to places on Iran,,string,8
P1014,AAT identifier,ID in the Art & Architecture Thesaurus by the Getty Research Institute,"AAT ID, Art & Architecture Thesaurus ID",string,991
P1015,BIBSYS identifier,ID for Norwegian information systems BIBSYS,,string,6662
P1017,BAV (Vatican Library) identifier,authority control identifier used at the Vatican Library,BAV,string,8016
P1021,KldB-2010 occupation code,German classification of occupations 2010,,string,1
P1022,CNO-11 occupation code, Spanish classification of occupations CNO-11 maintained by the Spanish INE (Instituto Nacional de Estadística),,string,2
P1023,SBC-2010 occupation code," Dutch classification of occupations SBC maintained by the Dutch CBS (Centraal Bureau voor de Statistiek), 2010 version",,string,3
P1024,SBFI occupation code,Swiss classification of occupations SBFI/SEFRI maintained by the Swiss SBFI/SEFRI,,string,2
P1025,SUDOC editions,item number in the French union catalog (see also P269),,string,79
P1030,light characteristic of a lighthouse,description of a navigational light sequence or colour displayed on a nautical chart,,string,53
P1031,legal citation of this text,legal citation of legislation or a court decision,"case citation, neutral citation, parallel citation, statute citation, regulation citation, citation",string,295
P1036,Dewey Decimal Classification,"use with qualifier ""edition (p747)"" with item value ""DDC 23"" or create new item to represent the corresponding DDC edition","DDC, Q48460",string,13775
P1042,ZDB identifier,identifier for serials,,string,656
P1043,IDEO Job ID,occupation ID on IDEO,,string,10
P1044,SWB editions,union catalog of the South-West German Library Network (SWB),,string,138
P1045,Sycomore ID,"ID of a person in the Sycomore database, by the French National Assembly",,string,9354
P1047,Catholic Hierarchy ID,ID of the person on catholic-hierarchy.org,Catholic Hierarchy bishop identifier,string,4031
P1048,NCL identifier,authority control number of the National Central Library in Taiwan,,string,10
P1051,PSH ID,Identifier in the authority database of the Czech Technical Library,"PSH, Czech Technical Library ID, PSH identifier",string,819
P1052,Portuguese Job Code CPP-2010,,,string,4
P1053,ResearcherID,an identifying system for scientific authors,RID,string,42
P1054,NDL editions,ID in the National Diet Library (see also P349),NDL catalog ID,string,13
P1055,NLM ID,identifier in the catalog of the National Library of Medicine,,string,6
P1058,ERA Journal ID,identifier for academic journals,,string,22502
P1059,CVR,The Central Business Register identifier. Number for the official database of Danish companies/organizations,Central Business Register,string,98
P1067,Thailand central administrative unit code,identifier for each of the Thai central administrative units,TIS 1099,string,6967
P1069,Danemark Job Code (DISCO-08),Danemark Job Code DISCO-08 maintained by the DST and derived from ISCO,,string,4
P1070,PlantList-ID,ID in the database of 'The Plant List',,string,331190
P1076,ICTV virus ID,"ID in the ""International Committee on Taxonomy of Viruses""-database",,string,367
P1077,KOATUU identifier,identifier for each of the Ukrainian administrative units,,string,27975
P1084,EUL editions,catalogue number for books (editions) in the Egyptian union catalog,EUL ID,string,4
P1085,LibraryThing work identifier,LibraryThing (LT) control number,LT work identifier,string,73
P1115,ATVK ID,"identifier for each of the Latvian administrative units, i.e. municipality, parish, city under state jurisdiction and city under municipality jurisdiction. Based on the {{Q|15621843}}.",,string,683
P1116,Kallikratis geographical code,identifier for administrative regions of Greece (starting 2010),,string,176
P1133,DGO4 identifier,Direction générale opérationelle identifier (Wallonia),,string,340
P1138,Kunstindeks Danmark,,,string,1636
P1140,EHAK id,Estonian Administrative and Settlement Classification,,string,4905
P1143,BN (Argentine) editions,catalogue number for books (editions) in the National Library of the Argentine Republic,BN ID,string,6
P1144,LCOC LCCN (bibliographic),Library of Congress ID for bibliographic records (for names use P244/LCNAF),"LCCN editions, LoC editions, LCOC number, LCCN (LCOC), Library of Congress Control Number (bibliographic), Library of Congress Catalog Card Number (bibliographic), LC Control Number",string,1936
P1146,IAAF ID,identifier for athletes in International Association of Athletics Federations (IAAF) database and website,,string,6562
P1149,Library of Congress Classification,identifier used for this class in the Library of Congress Classification system,LoC Classification,string,45
P1150,Regensburg Classification,identifier used for this class in the Regensburg Classification system,RVK identifier,string,91
P1153,Scopus Author ID,unique author identifier assigned in Scopus bibliographic database,,string,72
P1154,Scopus EID,unique academic work identifier assigned in Scopus bibliographic database,,string,1
P1155,Scopus Affiliation ID,Scopus uses a unique identifier for each organisation in author affiliations,,string,1
P1156,Scopus Source ID,"Scopus uses a unique identifier for each source/publication venue (journal, conference, etc)",,string,12664
P1157,US Congress Bio identifier,person identifier on the Biographical Directory of the United States Congress,,string,2
P1159,CODEN,CODEN bibliographic code,,string,1166
P1160,ISO 4 abbreviation,ISO 4 bibliographic code/abbreviation established in 1972,ISO4,string,3
P1161,Z39.5 abbreviation,Z39.5 bibliographic code/abbreviation established in 1969 by National Information Standards Organization and used widely in the US,,string,1
P1162,Bluebook abbreviation,Bluebook citation style includes abbreviations,,string,1
P1163,Internet media type,IANA-registered identifier for a file type,MIME type,string,201
P1168,municipality code (Denmark),identifier for municipalities in Denmark,,string,98
P1172,Geokod,identifier for historical administrative division of Sweden (1862-1951),,string,5
P1182,LIBRIS editions,ID for the items in the libris-catalogue about specific books,,string,8
P1183,Gewässerkennzahl,a number to hydrographically order rivers and streams,GKZ,string,14
P1184,handle,"Handle System identifier, which is a superset of the DOI",,string,5184
P1185,Rodovid ID,ID of the person on rodovid.org,,string,1820
P1186,MEP directory identifier,"directory of all members of the European Parliament, unique identifiers of all past and present MEPs",,string,3595
P1187,Dharma Drum Buddhist College person ID,,,string,3
P1188,Dharma Drum Buddhist College place ID,,,string,6
P1189,Chinese Library Classification,identifier used for this class in the CLC,,string,7
P1190,Universal Decimal Classification,type of library classification,,string,86
P1195,file extension,"suffix to the file name, that indicates the file format (e.g. txt for a text file), don't use dot at start","extension, filename extension",string,437
P1203,Finnish municipality number,,,string,5
P1207,NUKAT authorities,authority control number in the Center of Warsaw University Library catalog,,string,7185
P1208,ISMN,International Standard Music Number,,string,1
P1209,CN,"a number given by State Administration of Press, Publication, Radio, Film and Television of the People’s Republic of China, to identify newspaper and magazine in China","GAPP Identifier, SAPPRFT Identified, SAPPRFT Id.",string,29
P1212,Atlas ID,ID in the Atlas database of the Louvre Museum,,string,1590
P1213,NLC authorities,person identifier for National Library of China,,string,5
P1214,Riksdagen person-id,id-number at data.riksdagen.se,,string,311
P1216,English Heritage list number,number of the English Heritage list of buildings,EH list number,string,53796
P1217,Internet Broadway Database venue ID,ID for each theatre or other venue,"IBDB venue ID, IBDB venue identifier, IBDB identifier",string,38
P1218,Internet Broadway Database production ID,ID for a specific run of a show,"IBDB production ID, IBDB production identifier, IBDB identifier",string,17
P1219,Internet Broadway Database show ID,ID for a play or other work (which may have had 1 or more productions),"IBDB show ID, IBDB production identifier, IBDB identifier",string,3
P1220,Internet Broadway Database person ID,ID for personnel on Broadway,"IBDB person ID, IBDB person identifier, IBDB identifier",string,45
P1222,NARA person ID,,National Archives person ID,string,4
P1223,NARA organization ID,,National Archives organization ID,string,16
P1224,NARA geographic ID,,National Archives geographic ID,string,3
P1225,NARA topical subject ID,,National Archives topical subject ID,string,1
P1226,NARA specific records type ID,,National Archives specific records type ID,string,1
P1229,Openpolis ID,"page on Openpolis, a database of Italian politicians",,string,538
P1230,JSTOR journal code,ID used by JSTOR to identify a journal,,string,3
P1231,NARA catalogue record ID,unique identifier for catalogue records,,string,1
P1232,Linguist list code,language code from Linguist list,multitree code,string,21
P1233,ISFDB author ID,ID number of a person in the Internet Speculative Fiction Database,,string,3268
P1234,ISFDB publication ID,ID number of an edition of a publication in the Internet Speculative Fiction Database,,string,4
P1235,ISFDB series ID,"ID number of a series, periodical or franchise in the Internet Speculative Fiction Database",,string,13
P1236,Parsons code,Parsons code value for identifying music by melodic contours,Parsons Code for Melodic Contours,string,41
P1237,Box Office Mojo film ID,ID for a movie at the website Box Office Mojo,boxofficemojo,string,68
P1238,Swedish Football Association ID,database of Swedish soccer players,,string,18
P1239,ISFDB publisher ID,ID number of a publisher in the Internet Speculative Fiction Database,,string,1
P1240,Danish Bibliometric Research Indicator level,,BFI level,string,13748
P1241,Swiss Football Association Club Number,,,string,56
P1242,Theatricalia play ID,"Identifier for a theatrical work, in the Theatricalia database - http://theatricalia.com/",,string,1
P1243,International Standard Recording Code,,ISRC,string,1
P1245,OmegaWiki Defined Meaning,Defined Meaning on the site OmegaWiki,,string,550
P1246,patent number,string representing a patented invention,,string,7
P1248,KulturNav-id,"authority posts for people, places, events, etc. used by some  Nordic museums",,string,694
P1250,Danish Bibliometric Research Indicator (BFI) SNO/CNO,serial & conference identifier,"BFI SNO, BFI CNO",string,13750
P1251,ABS ASCL code,Australian Standard Classification of Languages ID for languages,,string,14
P1252,AUSTLANG code,Australian Indigenous Languages Database language ID,AIATSIS code,string,14
P1253,BCU Ecrivainsvd,identifier in the database of writers from the canton of Vaud,,string,338
P1254,Slovenska biografija ID,"ID in the ""Slovenska biografija"" reference project",,string,103
P1255,Helveticarchives ID,ID in the Swiss National Library's archive database,,string,43
P1256,Iconclass notation,"Iconclass code that corresponds with an artistic theme or concept. For artworks, use P1257 (depicts Iconclass notation).",Iconclass ID,string,69
P1257,depicts Iconclass notation,"Iconclass code depicted in an artwork. For linking Iconclass codes with their corresponding artistic themes or concepts, use P1256 (Iconclass notation).","Iconclass ID, Iconclass notation",string,27
P1258,Rotten Tomatoes identifier,"ID on Rotten Tomatoes: must use prefix ""m/"" for movies, ""tv/"" for TV series (remove /s number on end unless the item is a specific season), ""celebrity/"" for celebrities, ""critic/"" for film critics, ""source-"" for review sources",,string,12549
P1260,Cultural heritage database in Sweden,,,string,6
P1261,Rundata,"database about runestones, mainly in Sweden, but stones in all of Europe, Greenland and U.S. can be found here",,string,2
P1262,RAÄ-nummer,database of the cultural heritage in Sweden,,string,3
P1263,NNDB people ID,"ID in the Notable Names Database, a biographical database: only for people entries","NNDB ID, Notable Names Database ID, Notable Names Database people ID",string,4593
P1265,AlloCiné movie ID,,AlloCine movie ID,string,3846
P1266,AlloCiné person ID,,AlloCine person ID,string,120
P1267,AlloCiné serie ID,,"AlloCine series ID, AlloCine serie ID",string,9
P1270,Norway Database for Statistics on Higher education periodical ID,identifier for academic journals,,string,2
P1271,Norway Database for Statistics on Higher education publisher ID,,,string,1
P1272,Norway Import Service and Registration Authority periodical code,,,string,2
P1273,CANTIC,Catalan authority control identifier managed by the National Library of Catalonia (BNC),BNC,string,21757
P1274,ISFDB title ID,ID for a title in the Internet Speculative Fiction Database,,string,37
P1275,Norway Import Service and Registration Authority publisher code,,,string,1
P1276,Dictionnaire du Jura ID,identifier in the encyclopedia Dictionnaire du Jura,DIJU,string,100
P1277,Jufo ID,identifier in a Finnish Publication Forum,,string,2
P1278,Legal Entity Identifier,string identifying a legally distinct entity per ISO 17442,"Global Legal Entity Identifier, LEI, ISO 17442 code",string,29
P1280,CONOR identifier,ID in the CONOR.SI database,CONOR.SI,string,191
P1281,WOEID,location ID on Yahoo! GeoPlanet and Flickr,"Where On Earth Identifier, woe_id",string,22
P1282,OpenStreetMap tag or key,OpenStreetMap tagging schema (a Key:key or Tag:key=value) for classes of things,"OSM tag, OSM key, tag, key",string,645
P1284,Munzinger IBA,ID on the Munzinger Archiv,,string,16196
P1285,Munzinger Sport,ID on the Munzinger Archiv,,string,1331
P1286,Munzinger Pop,ID on the Munzinger Archiv,,string,1622
P1287,KDG Komponisten der Gegenwart,ID on the Munzinger Archiv,,string,744
P1288,KLG Kritisches Lexikon der Gegenwartsliteratur,ID on the Munzinger Archiv,,string,807
P1289,KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur,,,string,653
P1291,Association Authors of Switzerland ID,ID in a Swiss database of modern writers,ADS ID,string,680
P1292,DNB editions,ID in the German National Library catalogue (see also authority data P227),,string,134
P1293,Royal Aero Club Aviator's Certificate ID,,,string,61
P1294,WWF ecoregion code,identifier for ecoregions,,string,6
P1296,Gran Enciclopèdia Catalana ID,Gran Enciclopèdia Catalana identifier,GEC ID,string,6736
P1297,IRS Employer Identification Number,number given to businesses by the United States Internal Revenue Service,"FEIN, US EIN, IRS EIN, EIN",string,23
P1300,bibcode,bibcode for a journal,,string,1
P1305,Skyscraper Center ID,building ID as used on the CTBUH's www.skyscrapercenter.com,,string,10
P1307,Swiss parliament identifier,IDs for members of the Swiss Parliament since 1848,"parliament.ch, id parliament.ch, parlement.ch, parlament.ch",string,659
P1309,EGAXA identifier,ID in Bibliotheca Alexandrina,,string,526
P1311,lostbridges.org ID,database of covered bridges in the United States and Canada,,string,37
P1315,People Australia identifier,National Library of Australia party identifier (see also P409 for the older Libraries Australia identifier),"NLA Party ID, NLA party id, NLA party identifier, NLA Trove",string,90
P1316,SMDB ID,identifier in the Swedish Media Database,,string,6
P1320,OpenCorporates ID,"identifier for a corporation, in the OpenCorporates database",Open Corporates ID,string,632
P1323,Terminologia Anatomica 98,Terminologia Anatomica (1998 edition) human anatomical terminology identifier,TA98,string,3288
P1329,phone number,property for phone number with String datatype until the URL datatype will support phone numbers (P1244),"telephone number, phone #, fon, tel:",string,47
P1330,MusicBrainz instrument ID,identifier for an instrument on the music encyclopedia MusicBrainz,"MBID, instrument MBID",string,630
P1331,PACE member ID,ID for a member of the Parliamentary Assembly of the Council of Europe,,string,44
P1338,EPSG ID,European Petroleum Survey Group Geodesy ID for geodetic datum,,string,11
P1341,Italian Chamber of Deputies ID,ID code from the Italian Chamber of Deputies for incumbent and former deputies,,string,3
P1353,original spelling,original spelling of a scientific name,,string,3
P1360,Monte Carlo Particle Number,number given to each elementary particle,,string,61
P1361,Anime News Network ID,,ANN ID,string,24
P1362,Theaterlexikon der Schweiz,online edition ID of the Theater Dictionary of Switzerland,TLS,string,987
P1364,ITTF ID,ITTF table tennis player identifier,,string,184
P1367,BBC Your Paintings artist identifier,authority control identifier for artists (creators of publicly owned oil paintings in the UK),Your Paintings,string,7898
P1368,LNB identifier,National Library of Latvia code,,string,2298
P1369,Iranian National Heritage registration number,registration number in the Iranian National Heritage database,"CHRC, Cultural Heritage Registration Code (Iran), ICHTO",string,21299
P1370,ihsi identifier,code for each of the Haitian administrative units,,string,28
P1371,ASI Monument ID,identifier assigned to monuments catalogued by the Archaeological Survey of India,,string,304
P1375,NSK identifier,ID for the National and University Library in Zagreb,,string,1453
P1377,MTR station code,Hong Kong station codes issued by MTR,,string,10
P1378,China railway TMIS station code,a five digit code for railway stations used in China railway system,,string,1
P1380,uglybridges.com ID,database based on the National Bridge Inventory. Lists every U.S. bridge over 20 feet (6 meters) long,,string,6
P1381,bridgehunter.com ID,database of historic bridges,,string,5
P1385,Enciclopédia Açoriana ID,entry in an Azores-themed encyclopedia,"EA, Azores encyclopedia, Encyclopedia of the Azores",string,30
P1386,Japanese High School Code,ID for Japanese high schools,,string,4
P1388,German regional key,,,string,20
P1391,Index Fungorum ID,Identifier in Index Fungorum (see Q1860469),,string,3634
P1392,ComicBookDB ID,identifier in a comic book database,,string,11
P1394,Glottolog code,language code in the Glottolog database,,string,56
P1395,National Cancer Institute ID,id at www.cancer.gov,NCI ID,string,38
P1396,Linguasphere code,language code from Linguasphere Observatory,,string,38
P1397,State Catalogue of Geographical Names identifier (Russia),identifier in State Catalogue of Geographical Names (Russia),,string,5
P1400,FCC Facility ID,U.S. ID number for broadcast stations,"Facility ID Number, FIN, facility_id, facid",string,3
P1402,Foundational Model of Anatomy ID,unique identifier for human anatomical terminology,FMA,string,3015
P1404,World Glacier Inventory ID,identifier in the World Glacier Inventory database,Glacier ID,string,14
P1407,MusicBrainz series ID,series identifier per the MusicBrainz open music encyclopedia,"Series, Series MBID",string,9
P1409,Cycling Archives Cyclist ID,ID in the Cycling Archives,,string,50
P1413,SFDb ID,"identifier in a swedish film database. Type (like ""PERSON/"" or ""MOVIE/"") followed by ID Nr",,string,28
P1415,Oxford Biography Index Number,"Authority control number used by Oxford University Press for online biographical resources, predominantly the Oxford Dictionary of National Biography","Oxford Dictionary of National Biography ID, OBIN, ODNB ID",string,57534
P1417,Encyclopædia Britannica Online ID,ID of an article in the online version of Encyclopædia Britannica,"Britannica online ID, Britannica ID",string,209
P1422,Sandrart.net person ID,"identifier in the web-based edition of Joachim von Sandrart’s ""Teutscher Academie der Edlen Bau, Bild- und Mahlerey-Künste"" (1675–80)",,string,3245
P1428,Lost Art-ID,identifier in the Lost Art Internet Database,,string,2
P1430,OpenPlaques identifier,Identifier for a person in the OpenPlaques database - http://openplaques.org/,,string,4103
P1438,Jewish Encyclopedia ID (Russian),ID on the Electronic Jewish Encyclopedia (Elektronnaja Evrejskaja Entsiklopedia),,string,1350
P1439,Norsk filmografi ID,"ID from Norsk filmografi, published by the National Library of Norway",,string,626
P1440,Fide ID,ID on the FIDE database for chess players,,string,2791
P1447,Sports Reference ID,ID on the website sports-reference.com,,string,35746
P1453,catholic.ru identifier,identifier on the site catholic.ru,,string,2
P1459,Cadw Building ID,ID number for listed buildings in Wales,,string,2589
P1460,NIEA building ID,ID number for listed buildings in Northern Ireland,,string,802
P1461,Patientplus ID,Identifier of disease at Patient UK,,string,772
P1463,PRDL Author ID,identifier from Post-Reformation Digital Library,,string,415
P1466,WALS lect code,code for a language,,string,3
P1467,WALS genus code,code for a language genus,,string,2
P1468,WALS family code,code for a language family,,string,1
P1469,FIFA player code,FIFA ID for a soccer player,,string,10792
P1471,reporting mark,reporting mark for railroads in North America,,string,3
P1472,Commons Creator page,"name of the person's creator page on Wikimedia Commons (without the prefix ""Creator"")","creator, creator page",string,16216
P1473,Nupill Literatura Digital - Author,author identifier from Nupill Literatura Digital,,string,177
P1474,Nupill Literatura Digital - Document,document identifier from Nupill Literatura Digital,,string,2
P1481,vici.org ID,identifier on vici.org - archaeological atlas of antiquity,,string,28
P1483,kulturnoe-nasledie.ru identifier,russian cultural heritage register identifier,,string,1539
P1529,Glad identifier,cultural property identifier per the Glad database of French cultural heritage,,string,131
P1541,Cycling Quotient identifier,identifier on http://www.cqranking.com,CQRanking,string,7
P1544,Federal Register Document Number,Authority file ID in the United States Federal Register,,string,1
P1545,series ordinal,"position of an item in its parent series, generally to be used as a qualifier","rank, sorting order, position in series, number, order, ordinal number",string,11
P1550,Orphanet ID,ID in the Orpha.net database (without ORPHA prefix),,string,6
P1551,Exceptional heritage of Wallonia identifier,"The unique identifier of the ""Patrimoine immobilier exceptionnel de la Région wallonne""",,string,57
P1553,Yandex.Music ID,id on the site music.yandex.ru,,string,1
